state,winner,votes
Alabama,trump,9
Alaska,trump,3
Arizona,trump,11
Arkansas,trump,6
California,clinton,55
Colorado,clinton,9
Connecticut,clinton,7
Delaware,clinton,3
D.C.,clinton,3
Florida,trump,29
Georgia,trump,16
Hawaii,clinton,4
Idaho,trump,4
Illinois,clinton,20
Indiana,trump,11
Iowa,trump,6
Kansas,trump,6
Kentucky,trump,8
Louisiana,trump,8
Maine,clinton,3
Maryland,clinton,10
Massachusetts,clinton,11
Michigan,trump,16
Minnesota,clinton,10
Mississippi,trump,6
Missouri,trump,10
Montana,trump,3
Nebraska,trump,5
Nevada,clinton,6
New Hampshire,clinton,4
New Jersey,clinton,14
New Mexico,clinton,5
New York,clinton,29
North Carolina,trump,15
North Dakota,trump,3
Ohio,trump,18
Oklahoma,trump,7
Oregon,clinton,7
Pennsylvania,trump,20
Rhode Island,clinton,4
South Carolina,trump,9
South Dakota,trump,3
Tennessee,trump,11
Texas,trump,38
Utah,trump,6
Vermont,clinton,3
Virginia,clinton,13
Washington,clinton,12
West Virginia,trump,5
Wisconsin,trump,10
Wyoming,trump,3
