County,clinton,trump,other,total,dem,rep,other,total
Adair,1323,6637,271,8231,3819,9054,781,13654
Allen,1349,6466,276,8091,4793,8634,1010,14437
Anderson,2634,8242,544,11420,9805,6763,1245,17813
Ballard,816,3161,124,4101,4473,1621,311,6405
Barren,4275,13483,725,18483,16334,12529,2010,30873
Bath,1361,3082,140,4583,7214,1621,412,9247
Bell,1720,7764,234,9718,9187,10867,1070,21124
Boone,15026,39082,3462,57570,32279,53283,13086,98648
Bourbon,2791,5569,435,8795,9184,4482,981,14647
Boyd,6021,13591,842,20454,21318,14503,3417,39238
Boyle,4281,8040,617,12938,11665,8329,1651,21645
Bracken,705,2711,111,3527,4476,1534,288,6298
Breathitt,1537,3991,207,5735,10353,1022,323,11698
Breckinridge,1960,6484,327,8771,7007,7031,942,14980
Bullitt,8255,26210,1589,36054,27041,25541,5491,58073
Butler,947,4428,201,5576,2176,6872,346,9394
Caldwell,1260,4507,208,5975,6763,2752,544,10059
Calloway,4749,10367,929,16045,16828,9654,2786,29268
Campbell,14658,25050,2781,42489,29685,32747,9279,71711
Carlisle,432,2094,75,2601,2883,1016,140,4039
Carroll,1106,2588,161,3855,5866,1441,518,7825
Carter,2276,7587,411,10274,11170,7343,1324,19837
Casey,767,5482,190,6439,1948,8631,355,10934
Christian,7188,14108,787,22083,27367,17973,4930,50270
Clark,4706,10710,786,16202,15097,10464,2496,28057
Clay,752,5861,152,6765,1936,12338,381,14655
Clinton,547,3809,102,4458,1252,6106,127,7485
Crittenden,617,3290,130,4037,2890,3307,514,6711
Cumberland,459,2502,105,3066,832,4376,197,5405
Daviess,14163,28907,2711,45781,40876,26232,5610,72718
Edmonson,979,4135,127,5241,2793,5843,445,9081
Elliott,740,2000,115,2855,4581,429,204,5214
Estill,1108,4236,201,5545,4177,5769,634,10580
Fayette,69776,56890,9573,136239,116353,83105,25094,224552
Fleming,1348,4722,187,6257,6620,3533,573,10726
Floyd,4015,11993,532,16540,25310,4118,1003,30431
Franklin,10717,11819,1324,23860,25302,9066,2400,36768
Fulton,774,1549,59,2382,3880,1165,432,5477
Gallatin,749,2443,145,3337,3857,2061,489,6407
Garrard,1453,5904,262,7619,4058,7749,1152,12959
Grant,1910,7268,378,9556,8426,7412,1899,17737
Graves,3308,12671,613,16592,16622,7673,1291,25586
Grayson,1959,8219,394,10572,5692,11395,1148,18235
Green,832,4372,129,5333,3087,5275,394,8756
Greenup,4146,11546,581,16273,16078,10898,2257,29233
Hancock,1244,2788,261,4293,3934,2408,392,6734
Hardin,13944,26970,2227,43141,38466,33084,8559,80109
Harlan,1372,9129,256,10757,13573,6430,660,20663
Harrison,2031,5435,314,7780,8670,4056,783,13509
Hart,1730,5320,213,7263,7812,4618,777,13207
Henderson,6707,12159,839,19705,22945,9348,2444,34737
Henry,1828,4944,373,7145,6941,4238,744,11923
Hickman,449,1657,51,2157,2494,1055,176,3725
Hopkins,4310,15277,754,20341,21310,11302,2077,34689
Jackson,482,4889,129,5500,1332,8276,413,10021
Jefferson,190824,143758,18352,352934,333872,192292,56041,582205
Jessamine,6144,15474,1688,23306,16488,19235,3682,39405
Johnson,1250,8043,279,9572,6881,10172,869,17922
Kenton,24213,42958,4776,71947,51295,58603,18412,128310
Knott,1245,4357,161,5763,10020,1008,281,11309
Knox,1761,9885,366,12012,7277,15923,999,24199
Larue,1278,4799,290,6367,6138,3589,710,10437
