month,pop65
1/1/2000,1347
4/1/2000,1399
7/1/2000,1423
10/1/2000,1417
1/1/2001,1476
4/1/2001,1417
7/1/2001,1552
10/1/2001,1470
1/1/2002,1523
4/1/2002,1688
7/1/2002,1487
10/1/2002,1563
1/1/2003,1768
4/1/2003,1804
7/1/2003,1661
10/1/2003,1792
1/1/2004,1852
4/1/2004,1846
7/1/2004,1782
10/1/2004,1768
1/1/2005,1822
4/1/2005,1893
7/1/2005,1914
10/1/2005,2023
1/1/2006,2103
4/1/2006,2093
7/1/2006,2172
10/1/2006,2160
1/1/2007,2194
4/1/2007,2364
7/1/2007,2377
10/1/2007,2394
1/1/2008,2543
4/1/2008,2462
7/1/2008,2545
10/1/2008,2744
1/1/2009,2599
4/1/2009,2594
7/1/2009,2526
10/1/2009,2618
1/1/2010,2541
4/1/2010,2758
7/1/2010,2761
10/1/2010,2778
1/1/2011,2739
4/1/2011,2791
7/1/2011,2921
10/1/2011,3071
1/1/2012,3113
4/1/2012,3065
7/1/2012,3252
10/1/2012,3314
1/1/2013,3324
4/1/2013,3429
7/1/2013,3514
10/1/2013,3591
1/1/2014,3603
4/1/2014,3740
7/1/2014,3581
10/1/2014,3738
1/1/2015,3959
4/1/2015,4080
7/1/2015,4077
10/1/2015,4196
1/1/2016,4112
4/1/2016,4026
7/1/2016,4258
